ParticipantID,level,rate
a2520912,-0.7052,0.07256
a2513006,-0.922,-0.0926
a2212763,0.2252,-0.0407
a2521043,-0.3966,-0.0083
a2512162,0.9348,0.00978
a2521301,-0.3442,-0.08034
a1621595,0.8016,-0.02136
a2112623,0.8828,-0.00712
a2520951,0.1946,0.04764
a2512516,-0.7826,0.03236
a2521081,-0.7124,0.02404
a2512134,-0.43,-0.07154
a2520914,-0.4826,-0.0041
a2512159,0.3402,-0.06392
a2512163,0.9324,-0.0321
a2520961,-0.8686,-0.0688
f13948,-0.9404,0.0758
a2011300,0.6212,-0.0169
a2521213,0.058,-0.06056
a2512129,0.8664,-0.01554
a2112712,-0.03,-0.05442
a2520890,0.2846,-0.0546
a2520913,-0.3514,0.07712
a2212576,-0.836,-0.01562
